headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes
貪心,欲深い,ㄊㄢ ㄒㄧㄣ,tānxīn,状態動詞(形容詞),7,common,ai,word,,
談論,論じる/話し合う,ㄊㄢˊ ㄌㄨㄣˋ,tánlùn,動詞,7,common,ai,word,,
彈性,柔軟性/弾力性,ㄊㄢˊ ㄒㄧㄥˋ,tánxìng,名詞,7,common,ai,word,,
坦克,戦車,ㄊㄢˇ ㄎㄜˋ,tǎnkè,名詞,7,common,ai,word,,
坦然,平然とした/落ち着いた,ㄊㄢˇ ㄖㄢˊ,tǎnrán,状態動詞(形容詞),7,common,ai,word,,
探病,見舞う,ㄊㄢˋ ㄅㄧㄥˋ,tànbìng,離合動詞,7,common,ai,word,,
探究,究明する/探求する,ㄊㄢˋ ㄐㄧㄡˋ,tànjiù,動詞,7,common,ai,word,,
探索,探索する/探る,ㄊㄢˋ ㄙㄨㄛˇ,tànsuǒ,動詞,7,common,ai,word,,
探望,訪ねる/見舞う,ㄊㄢˋ ㄨㄤˋ,tànwàng,動詞,7,common,ai,word,,
探險,冒険する,ㄊㄢˋ ㄒㄧㄢˇ,tànxiǎn,自動詞,7,common,ai,word,,
堂堂,堂々とした/立派な,ㄊㄤˊ ㄊㄤˊ,tángtáng,状態動詞(形容詞),7,common,ai,word,,
倘若,もし〜ならば,ㄊㄤˇ ㄖㄨㄛˋ,tǎngruò,接続詞,7,common,ai,word,,
逃生,避難する/逃げ延びる,ㄊㄠˊ ㄕㄥ,táoshēng,自動詞,7,common,ai,word,,
逃稅,脱税する,ㄊㄠˊ ㄕㄨㄟˋ,táoshuì,離合動詞,7,common,ai,word,,
淘汰,淘汰する/選別する,ㄊㄠˊ ㄊㄞˋ,táotài,動詞,7,common,ai,word,,
套房,スイートルーム/個室,ㄊㄠˋ ㄈㄤˊ,tàofáng,名詞,7,common,ai,word,,
套裝,スーツ/セット,ㄊㄠˋ ㄓㄨㄤ,tàozhuāng,名詞,7,common,ai,word,,
特此,ここに/この場を借りて,ㄊㄜˋ ㄘˇ,tècǐ,副詞,7,common,ai,word,,
特區,特別区,ㄊㄜˋ ㄑㄩ,tèqū,名詞,7,common,ai,word,,
特權,特権,ㄊㄜˋ ㄑㄩㄢˊ,tèquán,名詞,7,common,ai,word,,
特約,特別契約の/専属の,ㄊㄜˋ ㄩㄝ,tèyuē,状態動詞(連体用),7,common,ai,word,,
特徵,特徴,ㄊㄜˋ ㄓㄥ,tèzhēng,名詞,7,common,ai,word,,
疼愛,慈しむ/可愛がる,ㄊㄜˊnㄍㄞˋ,téngài,状態動詞,7,common,ai,word,,
剔除,取り除く/排除する,ㄊㄧ ㄔㄨˊ,tīchú,動詞,7,common,ai,word,,
啼,泣く/鳴く,ㄊㄧˊ,tí,自動詞,7,common,ai,word,,
提拔,抜擢する/昇進させる,ㄊㄧˊ ㄅㄚˊ,tíbá,動詞,7,common,ai,word,,
提倡,提唱する/推奨する,ㄊㄧˊ ㄔㄤˋ,tíchàng,動詞,7,common,ai,word,,
提出,提出する/提案する,ㄊㄧˊ ㄔㄨ,tíchū,変化動詞,7,common,ai,word,,
提及,言及する,ㄊㄧˊ ㄐㄧˊ,tíjí,動詞,7,common,ai,word,,
提名,指名する,ㄊㄧˊ ㄇㄧㄥˊ,tímíng,動詞,7,common,ai,word,,
提升,向上させる/引き上げる,ㄊㄧˊ ㄕㄥ,tíshēng,動詞,7,common,ai,word,,原表記: 提升/提昇
提議,提案する/提議する,ㄊㄧˊ ㄧˋ,tíyì,動詞,7,common,ai,word,,
體操,体操,ㄊㄧˇ ㄘㄠ,tǐcāo,名詞,7,common,ai,word,,
體格,体格,ㄊㄧˇ ㄍㄜˊ,tǐgé,名詞,7,common,ai,word,,
體積,体積/容積,ㄊㄧˇ ㄐㄧ,tǐjī,名詞,7,common,ai,word,,
體諒,思いやる/理解する,ㄊㄧˇ ㄌㄧㄤˋ,tǐliàng,状態動詞,7,common,ai,word,,
體面,面目がある/立派な,ㄊㄧˇ ㄇㄧㄢˋ,tǐmiàn,状態動詞(形容詞),7,common,ai,word,,
體系,体系/システム,ㄊㄧˇ ㄒㄧˋ,tǐxì,名詞,7,common,ai,word,,
體質,体質,ㄊㄧˇ ㄓˊ,tǐzhí,名詞,7,common,ai,word,,
替代,代用する/取って代わる,ㄊㄧˋ ㄉㄞˋ,tìdài,状態動詞,7,common,ai,word,,
添,加える/増やす,ㄊㄧㄢ,tiān,動詞,7,common,ai,word,,
天然氣,天然ガス,ㄊㄧㄢ ㄖㄢˊ ㄑㄧˋ,tiānránqì,名詞,7,common,ai,word,,
天性,天性/本性,ㄊㄧㄢ ㄒㄧㄥˋ,tiānxìng,名詞,7,common,ai,word,,
田地,畑/耕地,ㄊㄧㄢˊ ㄉㄧˋ,tiándì,名詞,7,common,ai,word,,
田徑,陸上競技,ㄊㄧㄢˊ ㄐㄧㄥˋ,tiánjìng,名詞,7,common,ai,word,,
甜美,甘美な/心地よい,ㄊㄧㄢˊ ㄇㄟˇ,tiánměi,状態動詞(形容詞),7,common,ai,word,,
挑剔,選り好みする,ㄊㄧㄠ ㄊㄧ,tiāotī,動詞,7,common,ai,word,,
調和,調和する/仲裁する,ㄊㄧㄠˊ ㄏㄜˊ,tiáohé,動詞/状態動詞(形容詞),7,common,ai,word,,
調節,調整する/調節する,ㄊㄧㄠˊ ㄐㄧㄝˊ,tiáojié,動詞,7,common,ai,word,,
調皮,いたずらな,ㄊㄧㄠˊ ㄆㄧˊ,tiáopí,状態動詞(形容詞),7,common,ai,word,,
條例,条例/規則,ㄊㄧㄠˊ ㄌㄧˋ,tiáolì,名詞,7,common,ai,word,,
聽寫,書き取り/聴音,ㄊㄧㄥ ㄒㄧㄝˇ,tīngxiě,動詞,7,common,ai,word,,
停頓,一時停止する,ㄊㄧㄥˊ ㄉㄨㄣˋ,tíngdùn,自動詞,7,common,ai,word,,
停留,滞在する/留まる,ㄊㄧㄥˊ ㄌㄧㄡˊ,tíngliú,自動詞,7,common,ai,word,,
停滯,停滞する,ㄊㄧㄥˊ ㄓˋ,tíngzhì,自動詞,7,common,ai,word,,
通報,通報する/通知する,ㄊㄨㄥ ㄅㄠˋ,tōngbào,動詞,7,common,ai,word,,
通車,開通する/通勤する,ㄊㄨㄥ ㄔㄜ,tōngchē,変化動詞,7,common,ai,word,,
通稱,通称する/通称,ㄊㄨㄥ ㄔㄥ,tōngchēng,状態動詞,7,common,ai,word,,
通貨膨脹,インフレ,ㄊㄨㄥ ㄏㄨㄛˋ ㄆㄥˊ ㄓㄤˋ,tōnghuòpéngzhàng,状態動詞(形容詞),7,common,ai,word,,
通緝,指名手配する,ㄊㄨㄥ ㄑㄧˋ,tōngqì,動詞,7,common,ai,word,,
通行,通行する/通用する,ㄊㄨㄥ ㄒㄧㄥˊ,tōngxíng,自動詞,7,common,ai,word,,
通用,広く通用する,ㄊㄨㄥ ㄩㄥˋ,tōngyòng,状態動詞(連体用),7,common,ai,word,,
同伴,仲間/連れ,ㄊㄨㄥˊ ㄅㄢˋ,tóngbàn,名詞,7,common,ai,word,,
同化,同化する,ㄊㄨㄥˊ ㄏㄨㄚˋ,tónghuà,動詞,7,common,ai,word,,
同鄉,同郷の人,ㄊㄨㄥˊ ㄒㄧㄤ,tóngxiāng,名詞,7,common,ai,word,,
同心,心を一つにする,ㄊㄨㄥˊ ㄒㄧㄣ,tóngxīn,状態動詞(形容詞),7,common,ai,word,,
同性戀,同性愛,ㄊㄨㄥˊ ㄒㄧㄥˋ ㄌㄧㄢˋ,tóngxìngliàn,名詞,7,common,ai,word,,
同業,同業者,ㄊㄨㄥˊ ㄧㄝˋ,tóngyè,名詞,7,common,ai,word,,
統統,すべて/残らず,ㄊㄨㄥˇ ㄊㄨㄥˇ,tǒngtǒng,副詞,7,common,ai,word,,
統制,統制する,ㄊㄨㄥˇ ㄓˋ,tǒngzhì,動詞,7,common,ai,word,,
痛恨,痛恨する/ひどく憎む,ㄊㄨㄥˋ ㄏㄣˋ,tònghèn,状態動詞,7,common,ai,word,,
偷渡,密入国する,ㄊㄡ ㄉㄨˋ,tōudù,自動詞,7,common,ai,word,,
偷懶,怠ける,ㄊㄡ ㄌㄢˇ,tōulǎn,状態動詞(形容詞),7,common,ai,word,,
投保,保険をかける,ㄊㄡˊ ㄅㄠˇ,tóubǎo,動詞,7,common,ai,word,,
投機,気が合う/投機する,ㄊㄡˊ ㄐㄧ,tóujī,状態動詞(形容詞),7,common,ai,word,,
透明,透明な/公明正大な,ㄊㄡˋ ㄇㄧㄥˊ,tòumíng,状態動詞(形容詞),7,common,ai,word,,
徒弟,弟子,ㄊㄨˊ ㄉㄧˋ,túdì,名詞,7,common,ai,word,,
突擊,突撃する/急ぎ行う,ㄊㄨˊ ㄐㄧˊ,tújí,動詞,7,common,ai,word,,
突兀,そびえ立つ/突然の,ㄊㄨˊ ㄨˋ,túwù,状態動詞(形容詞),7,common,ai,word,,
塗,塗る,ㄊㄨˊ,tú,動詞,7,common,ai,word,,
圖,図/絵 / 図/絵,ㄊㄨˊ / ㄊㄨˊ,tú / tú,動詞,3,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
圖表,図表,ㄊㄨˊ ㄅㄧㄠˇ,túbiǎo,名詞,7,common,ai,word,,
圖騰,トーテム,ㄊㄨˊ ㄊㄥˊ,túténg,名詞,7,common,ai,word,,
土壤,土壌,ㄊㄨˇ ㄖㄤˇ,tǔrǎng,名詞,7,common,ai,word,,
團聚,再会する,ㄊㄨㄢˊ ㄐㄩˋ,tuánjù,状態動詞(形容詞),7,common,ai,word,,
團員,団員/メンバー,ㄊㄨㄢˊ ㄩㄢˊ,tuányuán,名詞,7,common,ai,word,,
推測,推測する,ㄊㄨㄟ ㄘㄜˋ,tuīcè,動詞,7,common,ai,word,,
推崇,崇拝する/高く評価する,ㄊㄨㄟ ㄔㄨㄥˊ,tuīchóng,状態動詞,7,common,ai,word,,
推出,押し出す/発売する,ㄊㄨㄟ ㄔㄨ,tuīchū,変化動詞,7,common,ai,word,,
推選,選出する,ㄊㄨㄟ ㄒㄩㄢˇ,tuīxuǎn,動詞,7,common,ai,word,,
退化,退化する,ㄊㄨㄟˋ ㄏㄨㄚˋ,tuìhuà,変化動詞,7,common,ai,word,,
吞吞吐吐,口ごもる,ㄊㄨㄣ ㄊㄨㄣ ㄊㄨˇ ㄊㄨˇ,tūntūntǔtǔ,自動詞,7,common,ai,word,,
托,支える/託す,ㄊㄨㄛ,tuō,動詞,7,common,ai,word,,
拖累,巻き添えにする/負担をかける,ㄊㄨㄛ ㄌㄟˋ,tuōlèi,動詞,7,common,ai,word,,
拖延,引き延ばす/先延ばしする,ㄊㄨㄛ ㄧㄢˊ,tuōyán,状態動詞,7,common,ai,word,,
脫身,抜け出す/逃れる,ㄊㄨㄛ ㄕㄣ,tuōshēn,変化動詞,7,common,ai,word,,
脫手,処分する/売り払う,ㄊㄨㄛ ㄕㄡˇ,tuōshǒu,変化動詞,7,common,ai,word,,
外號,あだ名,ㄨㄞˋ ㄏㄠˋ,wàihào,名詞,7,common,ai,word,,
外力,外力/外部からの圧力,ㄨㄞˋ ㄌㄧˋ,wàilì,名詞,7,common,ai,word,,
外貿,貿易,ㄨㄞˋ ㄇㄠˋ,wàimào,名詞,7,common,ai,word,,
外線,外線/アウトサイド,ㄨㄞˋ ㄒㄧㄢˋ,wàixiàn,名詞,7,common,ai,word,,
外銷,輸出する,ㄨㄞˋ ㄒㄧㄠ,wàixiāo,動詞,7,common,ai,word,,
外遇,不倫,ㄨㄞˋ ㄩˋ,wàiyù,名詞,7,common,ai,word,,
外在,外部の/外的な,ㄨㄞˋ ㄗㄞˋ,wàizài,名詞,7,common,ai,word,,
外資,外国資本,ㄨㄞˋ ㄗ,wàizī,名詞,7,common,ai,word,,
彎曲,曲がる/湾曲した,ㄨㄢ ㄑㄩ,wānqū,状態動詞(形容詞),7,common,ai,word,,
完備,完備された/完璧な,ㄨㄢˊ ㄅㄟˋ,wánbèi,状態動詞(形容詞),7,common,ai,word,,
玩弄,弄ぶ/いい加減に扱う,ㄨㄢˊ ㄋㄨㄥˋ,wánnòng,動詞,7,common,ai,word,,
頑強,粘り強い/頑強な,ㄨㄢˊ ㄑㄧㄤˊ,wánqiáng,状態動詞(形容詞),7,common,ai,word,,
挽,引く/巻き上げる,ㄨㄢˇ,wǎn,動詞,7,common,ai,word,,
挽救,救う/立て直す,ㄨㄢˇ ㄐㄧㄡˋ,wǎnjiù,動詞,7,common,ai,word,,
萬分,非常に/極めて,ㄨㄢˋ ㄈㄣ,wànfēn,副詞,7,common,ai,word,,
萬事,あらゆる事柄,ㄨㄢˋ ㄕˋ,wànshì,名詞,7,common,ai,word,,
萬歲,万歳,ㄨㄢˋ ㄙㄨㄟˋ,wànsuì,状態動詞(形容詞),7,common,ai,word,,
萬萬,絶対に/どうしても,ㄨㄢˋ ㄨㄢˋ,wànwàn,副詞,7,common,ai,word,,
萬物,万物/あらゆるもの,ㄨㄢˋ ㄨˋ,wànwù,名詞,7,common,ai,word,,
惋惜,惜しい/残念だ,ㄨㄢˋ ㄒㄧˊ,wànxí,状態動詞(形容詞),7,common,ai,word,,
亡國,国が滅びる,ㄨㄤˊ ㄍㄨㄛˊ,wángguó,変化動詞,7,common,ai,word,,
往來,往来/交流,ㄨㄤˇ ㄌㄞˊ,wǎnglái,自動詞,7,common,ai,word,,
旺季,繁忙期/ピーク時,ㄨㄤˋ ㄐㄧˋ,wàngjì,名詞,7,common,ai,word,,
旺盛,盛んな/活発な,ㄨㄤˋ ㄕㄥˋ,wàngshèng,状態動詞(形容詞),7,common,ai,word,,
威風,威厳がある/堂々とした,ㄨㄟ ㄈㄥ,wēifēng,状態動詞(形容詞),7,common,ai,word,,
威力,威力/強大な力,ㄨㄟ ㄌㄧˋ,wēilì,名詞,7,common,ai,word,,
萎縮,萎縮する/衰える,ㄨㄟ ㄙㄨㄛ,wēisuō,状態動詞(形容詞),7,common,ai,word,,
為人,人柄/振る舞い,ㄨㄟˊ ㄖㄣˊ,wéirén,名詞,7,common,ai,word,,
為生,生計を立てる,ㄨㄟˊ ㄕㄥ,wéishēng,状態動詞(形容詞),7,common,ai,word,,
為首,先頭に立つ/率いる,ㄨㄟˊ ㄕㄡˇ,wéishǒu,状態動詞(形容詞),7,common,ai,word,,
為止,～まで,ㄨㄟˊ ㄓˇ,wéizhǐ,名詞,7,common,ai,word,,
違背,背く/違反する,ㄨㄟˊ ㄅㄟˋ,wéibèi,変化動詞,7,common,ai,word,,
違約,契約違反する,ㄨㄟˊ ㄩㄝ,wéiyuē,離合動詞,7,common,ai,word,,
危害,危害を加える/損なう,ㄨㄟˊ ㄏㄞˋ,wéihài,動詞,7,common,ai,word,,
圍巾,マフラー/ショール,ㄨㄟˊ ㄐㄧㄣ,wéijīn,名詞,7,common,ai,word,,
圍牆,塀/囲い,ㄨㄟˊ ㄑㄧㄤˊ,wéiqiáng,名詞,7,common,ai,word,,
圍繞,取り巻く/中心にする,ㄨㄟˊ ㄖㄠˋ,wéirào,動詞,7,common,ai,word,,
微弱,微弱な/かすかな,ㄨㄟˊ ㄖㄨㄛˋ,wéiruò,状態動詞(形容詞),7,common,ai,word,,
微小,微小な/極めて小さい,ㄨㄟˊ ㄒㄧㄠˇ,wéixiǎo,状態動詞(形容詞),7,common,ai,word,,
胃口,食欲/好み,ㄨㄟˋ ㄎㄡˇ,wèikǒu,名詞,7,common,ai,word,,
未必,必ずしも～とは限らない,ㄨㄟˋ ㄅㄧˋ,wèibì,副詞,7,common,ai,word,,
未婚夫,婚約者（男性）,ㄨㄟˋ ㄏㄨㄣ ㄈㄨ,wèihūnfū,名詞,7,common,ai,word,,
未婚妻,婚約者（女性）,ㄨㄟˋ ㄏㄨㄣ ㄑㄧ,wèihūnqī,名詞,7,common,ai,word,,
未免,いささか～すぎる,ㄨㄟˋ ㄇㄧㄢˇ,wèimiǎn,副詞,7,common,ai,word,,
溫帶,温帯,ㄨㄣ ㄉㄞˋ,wēndài,名詞,7,common,ai,word,,
溫習,復習する,ㄨㄣ ㄒㄧˊ,wēnxí,動詞,7,common,ai,word,,
溫馴,温順な/おとなしい,ㄨㄣ ㄒㄩㄣˊ,wēnxún,状態動詞(形容詞),7,common,ai,word,,
瘟疫,疫病,ㄨㄣ ㄧˋ,wēnyì,名詞,7,common,ai,word,,
文明,文明/文化,ㄨㄣˊ ㄇㄧㄥˊ,wénmíng,名詞,7,common,ai,word,,
文獻,文献/資料,ㄨㄣˊ ㄒㄧㄢˋ,wénxiàn,名詞,7,common,ai,word,,
聞名,有名だ,ㄨㄣˊ ㄇㄧㄥˊ,wénmíng,状態動詞,7,common,ai,word,,
穩健,堅実な,ㄨㄣˇ ㄐㄧㄢˋ,wěnjiàn,状態動詞(形容詞),7,common,ai,word,,
紊亂,混乱した,ㄨㄣˋ ㄌㄨㄢˋ,wènluàn,状態動詞(形容詞),7,common,ai,word,,
問世,世に出る/発表される,ㄨㄣˋ ㄕˋ,wènshì,変化動詞,7,common,ai,word,,
臥,横たわる,ㄨㄛˋ,wò,自動詞,7,common,ai,word,,
烏龜,亀/寝取られ男,ㄨ ㄍㄨㄟ,wūguī/guī,名詞,7,common,ai,word,,原表記: 烏龜/龜
烏鴉,カラス,ㄨ ㄧㄚ,wūyā,名詞,7,common,ai,word,,
汙染,汚染 / 汚染,ㄨ ㄖㄢˇ / ㄨ ㄖㄢˇ,wūrǎn / wūrǎn,名詞,4,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
無比,比類ない,ㄨˊ ㄅㄧˇ,wúbǐ,状態動詞(形容詞),7,common,ai,word,,
無線電,無線/ラジオ,ㄨˊ ㄒㄧㄢˋ ㄉㄧㄢˋ,wúxiàndiàn,名詞,7,common,ai,word,,
無形,形のない/仮想の,ㄨˊ ㄒㄧㄥˊ,wúxíng,状態動詞(形容詞),7,common,ai,word,,
無疑,疑いなく,ㄨˊ ㄧˊ,wúyí,副詞,7,common,ai,word,,
五金,金物,ㄨˇ ㄐㄧㄣ,wǔjīn,名詞,7,common,ai,word,,
武士,戦士/武士,ㄨˇ ㄕˋ,wǔshì,名詞,7,common,ai,word,,
武裝,武装/装備,ㄨˇ ㄓㄨㄤ,wǔzhuāng,名詞,7,common,ai,word,,
侮辱,侮辱する,ㄨˇ ㄖㄨˋ,wǔrù,動詞,7,common,ai,word,,
物產,産物/天然資源,ㄨˋ ㄔㄢˇ,wùchǎn,名詞,7,common,ai,word,,
物體,物体,ㄨˋ ㄊㄧˇ,wùtǐ,名詞,7,common,ai,word,,
誤解,誤解する/誤解,ㄨˋ ㄐㄧㄝˇ,wùjiě,状態動詞,7,common,ai,word,,
務實,現実的な,ㄨˋ ㄕˊ,wùshí,状態動詞(形容詞),7,common,ai,word,,
西服,洋服/スーツ,ㄒㄧ ㄈㄨˊ,xīfú,名詞,7,common,ai,word,,
西醫,西洋医学/西洋医,ㄒㄧ ㄧ,xīyī,名詞,7,common,ai,word,,
溪流,小川,ㄒㄧ ㄌㄧㄡˊ,xīliú,名詞,7,common,ai,word,,
席,むしろ/席/宴会,ㄒㄧˊ,xí,量詞,7,common,ai,word,,
席位,議席/席,ㄒㄧˊ ㄨㄟˋ,xíwèi,名詞,7,common,ai,word,,
錫,スズ/授ける,ㄒㄧˊ,xí,名詞,7,common,ai,word,,
襲擊,襲撃する,ㄒㄧˊ ㄐㄧˊ,xíjí,動詞,7,common,ai,word,,
昔日,昔,ㄒㄧˊ ㄖˋ,xírì,名詞,7,common,ai,word,,
習題,練習問題,ㄒㄧˊ ㄊㄧˊ,xítí,名詞,7,common,ai,word,,
洗禮,洗礼,ㄒㄧˇ ㄌㄧˇ,xǐlǐ,名詞,7,common,ai,word,,
喜氣,祝祭の雰囲気,ㄒㄧˇ ㄑㄧˋ,xǐqì,名詞,7,common,ai,word,,
喜悅,喜ばしい,ㄒㄧˇ ㄩㄝˋ,xǐyuè,状態動詞(形容詞),7,common,ai,word,,
戲曲,伝統劇,ㄒㄧˋ ㄑㄩˇ,xìqǔ,名詞,7,common,ai,word,,
瑕疵,欠陥/傷,ㄒㄧㄚˊ ㄘ,xiácī,名詞,7,common,ai,word,,
峽谷,峡谷,ㄒㄧㄚˊ ㄍㄨˇ,xiágǔ,名詞,7,common,ai,word,,
狹小,狭い,ㄒㄧㄚˊ ㄒㄧㄠˇ,xiáxiǎo,状態動詞(形容詞),7,common,ai,word,,
狹窄,狭い,ㄒㄧㄚˊ ㄓㄞˇ,xiázhǎi,状態動詞(形容詞),7,common,ai,word,,
下筆,書き始める,ㄒㄧㄚˋ ㄅㄧˇ,xiàbǐ,自動詞,7,common,ai,word,,
下跌,下落する,ㄒㄧㄚˋ ㄉㄧㄝˊ,xiàdié,変化動詞,7,common,ai,word,,
下滑,下降する/低下する,ㄒㄧㄚˋ ㄏㄨㄚˊ,xiàhuá,変化動詞,7,common,ai,word,,
下列,次の/以下の,ㄒㄧㄚˋ ㄌㄧㄝˋ,xiàliè,状態動詞(連体用),7,common,ai,word,,
下水,下流へ行く/入水する/内臓,ㄒㄧㄚˋ ㄕㄨㄟˇ,xiàshuǐ,離合動詞,7,common,ai,word,,
掀,持ち上げる/揺れる/痙攣する,ㄒㄧㄢ,xiān,動詞,7,common,ai,word,,
仙丹,仙薬/妙薬,ㄒㄧㄢ ㄉㄢ,xiāndān,名詞,7,common,ai,word,,
