headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes,en_ref,flag
白菜,白菜,ㄅㄞˊ ㄘㄞˋ,báicài,名詞,5,common,ai,word,,,"Chinese cabbage, esp. napa cabbage (Brassica rapa subsp. pekinensis); sometimes used to refer to bok choy (Brassica rapa",見出し語と同一
博士,博士,ㄅㄛˊ ㄕˋ,bóshì,名詞,5,common,ai,word,,,doctor (as an academic degree); (old) person specialized in a skill or trade; (old) court academician,見出し語と同一
博物館,博物館,ㄅㄛˊ ㄨˋ ㄍㄨㄢˇ,bówùguǎn,名詞,5,common,ai,word,,,museum,見出し語と同一
草原,草原,ㄘㄠˇ ㄩㄢˊ,cǎoyuán,名詞,5,common,ai,word,,,grassland; prairie; CL:片[pian4],見出し語と同一
差異,差異,ㄔㄚ ㄧˋ,chāyì,名詞,5,common,ai,word,,,difference; discrepancy,見出し語と同一
成果,成果,ㄔㄥˊ ㄍㄨㄛˇ,chéngguǒ,名詞,5,common,ai,word,,,result; achievement; gain,見出し語と同一
島,島,ㄉㄠˇ,dǎo,名詞,5,common,ai,word,,,"island; CL:個|个[ge4],座[zuo4]",見出し語と同一
道教,道教,ㄉㄠˋ ㄐㄧㄠˋ,dàojiào,名詞,5,common,ai,word,,,Taoism; Daoism (Chinese system of beliefs),見出し語と同一
地理,地理,ㄉㄧˋ ㄌㄧˇ,dìlǐ,名詞,5,common,ai,word,,,geography,見出し語と同一
地球,地球,ㄉㄧˋ ㄑㄧㄡˊ,dìqiú,名詞,5,common,ai,word,,,the earth,見出し語と同一
地形,地形,ㄉㄧˋ ㄒㄧㄥˊ,dìxíng,名詞,5,common,ai,word,,,topography; terrain; landform,見出し語と同一
電池,電池,ㄉㄧㄢˋ ㄔˊ,diànchí,名詞,5,common,ai,word,,,"battery; CL:節|节[jie2],組|组[zu3]",見出し語と同一
動物園,動物園,ㄉㄨㄥˋ ㄨˋ ㄩㄢˊ,dòngwùyuán,名詞,5,common,ai,word,,,zoo; CL:個|个[ge4],見出し語と同一
都市,都市,ㄉㄨ ㄕˋ,dūshì,名詞,5,common,ai,word,,,city; metropolis,見出し語と同一
夫婦,夫婦,ㄈㄨ ㄈㄨˋ,fūfù,名詞,5,common,ai,word,,,a (married) couple; husband and wife; CL:對|对[dui4],見出し語と同一
工業,工業,ㄍㄨㄥ ㄧㄝˋ,gōngyè,名詞,5,common,ai,word,,,industry,見出し語と同一
古代,古代,ㄍㄨˇ ㄉㄞˋ,gǔdài,名詞,5,common,ai,word,,,ancient times,見出し語と同一
規模,規模,ㄍㄨㄟ ㄇㄛˊ,guīmó,名詞,5,common,ai,word,,,scale; scope; extent,見出し語と同一
航空,航空,ㄏㄤˊ ㄎㄨㄥ,hángkōng,名詞,5,common,ai,word,,,aviation,見出し語と同一
話題,話題,ㄏㄨㄚˋ ㄊㄧˊ,huàtí,名詞,5,common,ai,word,,,subject (of a talk or conversation); topic,見出し語と同一
回,回,ㄏㄨㄟˊ,huí,量詞,5,common,ai,word,,,to circle; to go back; to turn around,見出し語と同一
記者,記者,ㄐㄧˋ ㄓㄜˇ,jìzhě,名詞,5,common,ai,word,,,reporter; journalist; CL:個|个[ge4],見出し語と同一
肩,肩,ㄐㄧㄢ,jiān,名詞,5,common,ai,word,,,shoulder; to shoulder (responsibilities etc),見出し語と同一
教材,教材,ㄐㄧㄠˋ ㄘㄞˊ,jiàocái,名詞,5,common,ai,word,,,teaching material; CL:本[ben3],見出し語と同一
教師,教師,ㄐㄧㄠˋ ㄕ,jiàoshī,名詞,5,common,ai,word,,,teacher; CL:個|个[ge4],見出し語と同一
軍隊,軍隊,ㄐㄩㄣ ㄉㄨㄟˋ,jūnduì,名詞,5,common,ai,word,,,"armed forces; troops; CL:支[zhi1],個|个[ge4]",見出し語と同一
軍人,軍人,ㄐㄩㄣ ㄖㄣˊ,jūnrén,名詞,5,common,ai,word,,,serviceman; soldier; military personnel,見出し語と同一
龍,龍,ㄌㄨㄥˊ,lóng,名詞,5,common,ai,word,,,Chinese dragon; loong; (fig.) emperor; dragon,見出し語と同一
貿易,貿易,ㄇㄠˋ ㄧˋ,màoyì,名詞,5,common,ai,word,,,(commercial) trade; CL:個|个[ge4],見出し語と同一
面積,面積,ㄇㄧㄢˋ ㄐㄧ,miànjī,名詞,5,common,ai,word,,,"area (of a floor, piece of land etc); surface area; tract of land",見出し語と同一
秘密,秘密,ㄇㄧˋ ㄇㄧˋ,mìmì,名詞,5,common,ai,word,,原表記: 秘密/祕密,secret; private; confidential; clandestine; a secret (CL:個|个[ge4]),見出し語と同一
年,年,ㄋㄧㄢˊ,nián,名詞,5,common,ai,word,,,year; CL:個|个[ge4],見出し語と同一
農業,農業,ㄋㄨㄥˊ ㄧㄝˋ,nóngyè,名詞,5,common,ai,word,,,agriculture; farming,見出し語と同一
鉛筆,鉛筆,ㄑㄧㄢ ㄅㄧˇ,qiānbǐ,名詞,5,common,ai,word,,,"(lead) pencil; CL:支[zhi1],枝[zhi1],桿|杆[gan3]",見出し語と同一
橋,橋,ㄑㄧㄠˊ,qiáo,名詞,5,common,ai,word,,,bridge; CL:座[zuo4],見出し語と同一
期間,期間,ㄑㄧˊ ㄐㄧㄢ,qíjiān,名詞,5,common,ai,word,,,period of time; time; time period,見出し語と同一
青年,青年,ㄑㄧㄥ ㄋㄧㄢˊ,qīngnián,名詞,5,common,ai,word,,,youth; youthful years; young person,見出し語と同一
青少年,青少年,ㄑㄧㄥ ㄕㄠˋ ㄋㄧㄢˊ,qīngshàonián,名詞,5,common,ai,word,,,adolescent; youth; teenager,見出し語と同一
企業,企業,ㄑㄧˋ ㄧㄝˋ,qìyè,名詞,5,common,ai,word,,,company; firm; enterprise; corporation; CL:家[jia1],見出し語と同一
全身,全身,ㄑㄩㄢˊ ㄕㄣ,quánshēn,名詞,5,common,ai,word,,,the whole body; (typography) em,見出し語と同一
人口,人口,ㄖㄣˊ ㄎㄡˇ,rénkǒu,名詞,5,common,ai,word,,,population; people,見出し語と同一
人類,人類,ㄖㄣˊ ㄌㄟˋ,rénlèi,名詞,5,common,ai,word,,,humanity; human race; mankind,見出し語と同一
森林,森林,ㄙㄣ ㄌㄧㄣˊ,sēnlín,名詞,5,common,ai,word,,,forest; CL:片[pian4],見出し語と同一
時代,時代,ㄕˊ ㄉㄞˋ,shídài,名詞,5,common,ai,word,,,"Time, US weekly news magazine ‖ age",見出し語と同一
石油,石油,ㄕˊ ㄧㄡˊ,shíyóu,名詞,5,common,ai,word,,,oil; petroleum,見出し語と同一
市長,市長,ㄕˋ ㄓㄤˇ,shìzhǎng,名詞,5,common,ai,word,,,mayor,見出し語と同一
樹木,樹木,ㄕㄨˋ ㄇㄨˋ,shùmù,名詞,5,common,ai,word,,,tree,見出し語と同一
投資,投資,ㄊㄡˊ ㄗ / ㄊㄡˊ ㄗ,tóuzī / tóuzī,動詞/名詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,investment; to invest,見出し語と同一
香水,香水,ㄒㄧㄤ ㄕㄨㄟˇ,xiāngshuǐ,名詞,5,common,ai,word,,,perfume; cologne,見出し語と同一
血,血,ㄒㄧㄝˇ,xiě,名詞,5,common,ai,word,,,"blood; colloquial pr. [xie3]; CL:滴[di1],片[pian4]",見出し語と同一
性別,性別,ㄒㄧㄥˋ ㄅㄧㄝˊ,xìngbié,名詞,5,common,ai,word,,,gender; sex,見出し語と同一
羊,羊,ㄧㄤˊ,yáng,名詞,5,common,ai,word,,,"sheep; goat; CL:頭|头[tou2],隻|只[zhi1]",見出し語と同一
月餅,月餅,ㄩㄝˋ ㄅㄧㄥˇ,yuèbǐng,名詞,5,common,ai,word,,,mooncake (esp. for the Mid-Autumn Festival),見出し語と同一
雲,雲,ㄩㄣˊ,yún,名詞,5,common,ai,word,,,cloud; CL:朵[duo3],見出し語と同一
植物,植物,ㄓˊ ㄨˋ,zhíwù,名詞,5,common,ai,word,,,plant; vegetation; CL:種|种[zhong3],見出し語と同一
真理,真理,ㄓㄣ ㄌㄧˇ,zhēnlǐ,名詞,5,common,ai,word,,,truth; CL:個|个[ge4],見出し語と同一
政治,政治,ㄓㄥˋ ㄓˋ,zhèngzhì,名詞,5,common,ai,word,,,politics; political,見出し語と同一
主婦,主婦,ㄓㄨˇ ㄈㄨˋ,zhǔfù,名詞,5,common,ai,word,,,housewife; woman of senior authority in a household; the lady of the house,見出し語と同一
資源,資源,ㄗ ㄩㄢˊ,zīyuán,名詞,5,common,ai,word,,,"Ziyuan county in Guilin 桂林[Gui4 lin2], Guangxi ‖ natural resource (such as water or miner",見出し語と同一
宗教,宗教,ㄗㄨㄥ ㄐㄧㄠˋ,zōngjiào,名詞,5,common,ai,word,,,religion,見出し語と同一
最初,最初,ㄗㄨㄟˋ ㄔㄨ,zuìchū,名詞,5,common,ai,word,,,first; primary; initial,見出し語と同一
最後,最後,ㄗㄨㄟˋ ㄏㄡˋ,zuìhòu,名詞,5,common,ai,word,,,final; last; finally,見出し語と同一
作品,作品,ㄗㄨㄛˋ ㄆㄧㄣˇ,zuòpǐn,名詞,5,common,ai,word,,,"work (of art); opus; CL:部[bu4],篇[pian1]",見出し語と同一
作者,作者,ㄗㄨㄛˋ ㄓㄜˇ,zuòzhě,名詞,5,common,ai,word,,,author; writer,見出し語と同一
悲劇,悲劇,ㄅㄟ ㄐㄩˋ,bēijù,名詞,6,common,ai,word,,,tragedy; CL:齣|出[chu1],見出し語と同一
表情,表情,ㄅㄧㄠˇ ㄑㄧㄥˊ,biǎoqíng,名詞,6,common,ai,word,,,(facial) expression; to express one's feelings,見出し語と同一
倉庫,倉庫,ㄘㄤ ㄎㄨˋ,cāngkù,名詞,6,common,ai,word,,,depot; storehouse; warehouse,見出し語と同一
長方形,長方形,ㄔㄤˊ ㄈㄤ ㄒㄧㄥˊ,chángfāngxíng,名詞,6,common,ai,word,,,rectangle,見出し語と同一
常識,常識,ㄔㄤˊ ㄕˋ,chángshì,名詞,6,common,ai,word,,,common sense; general knowledge; CL:門|门[men2],見出し語と同一
茶葉,茶葉,ㄔㄚˊ ㄧㄝˋ,cháyè,名詞,6,common,ai,word,,,"tea; tea leaves; CL:盒[he2],罐[guan4],包[bao1],片[pian4]",見出し語と同一
成人,成人,ㄔㄥˊ ㄖㄣˊ,chéngrén,名詞,6,common,ai,word,,,to reach adulthood; an adult,見出し語と同一
誠意,誠意,ㄔㄥˊ ㄧˋ,chéngyì,名詞,6,common,ai,word,,,sincerity; good faith,見出し語と同一
電報,電報,ㄉㄧㄢˋ ㄅㄠˋ,diànbào,名詞,6,common,ai,word,,,telegram; cable; telegraph,見出し語と同一
電子,電子,ㄉㄧㄢˋ ㄗˇ,diànzǐ,名詞,6,common,ai,word,,,electronic; electron (particle physics),見出し語と同一
地震,地震,ㄉㄧˋ ㄓㄣˋ,dìzhèn,変化動詞,6,common,ai,word,,,earthquake,見出し語と同一
動詞,動詞,ㄉㄨㄥˋ ㄘˊ,dòngcí,名詞,6,common,ai,word,,,verb,見出し語と同一
肺,肺,ㄈㄟˋ,fèi,名詞,6,common,ai,word,,,lung; CL:個|个[ge4],見出し語と同一
蜂蜜,蜂蜜,ㄈㄥ ㄇㄧˋ,fēngmì,名詞,6,common,ai,word,,,honey,見出し語と同一
高原,高原,ㄍㄠ ㄩㄢˊ,gāoyuán,名詞,6,common,ai,word,,,plateau; CL:片[pian4],見出し語と同一
歌手,歌手,ㄍㄜ ㄕㄡˇ,gēshǒu,名詞,6,common,ai,word,,,singer,見出し語と同一
公式,公式,ㄍㄨㄥ ㄕˋ,gōngshì,名詞,6,common,ai,word,,,formula,見出し語と同一
構造,構造,ㄍㄡˋ ㄗㄠˋ,gòuzào,名詞,6,common,ai,word,,,structure; composition; tectonic (geology),見出し語と同一
貴族,貴族,ㄍㄨㄟˋ ㄗㄨˊ,guìzú,名詞,6,common,ai,word,,,lord; nobility; nobleman,見出し語と同一
鍋,鍋,ㄍㄨㄛ(ㄗ˙),guō(zi),名詞,6,common,ai,word,,原表記: 鍋(子),"pot; pan; wok; cauldron; pot-shaped thing; CL:口[kou3],隻|只[zhi1]",見出し語と同一
顧問,顧問,ㄍㄨˋ ㄨㄣˋ,gùwèn,名詞,6,common,ai,word,,,adviser; consultant,見出し語と同一
海軍,海軍,ㄏㄞˇ ㄐㄩㄣ,hǎijūn,名詞,6,common,ai,word,,,navy,見出し語と同一
海外,海外,ㄏㄞˇ ㄨㄞˋ,hǎiwài,名詞,6,common,ai,word,,,overseas; abroad,見出し語と同一
痕跡,痕跡,ㄏㄣˊ ㄐㄧ,hénjī,名詞,6,common,ai,word,,,vestige; mark; trace,見出し語と同一
後方,後方,ㄏㄡˋ ㄈㄤ,hòufāng,名詞,6,common,ai,word,,,the rear; far behind the front line,見出し語と同一
皇帝,皇帝,ㄏㄨㄤˊ ㄉㄧˋ,huángdì,名詞,6,common,ai,word,,,emperor; CL:個|个[ge4],見出し語と同一
華僑,華僑,ㄏㄨㄚˊ ㄑㄧㄠˊ,huáqiáo,名詞,6,common,ai,word,,,"overseas Chinese; (in a restricted sense) Chinese emigrant who still retains Chinese nationality; CL:個|个[ge4],位[wei4],名[",見出し語と同一
華人,華人,ㄏㄨㄚˊ ㄖㄣˊ,huárén,名詞,6,common,ai,word,,,ethnic Chinese person or people,見出し語と同一
灰色,灰色,ㄏㄨㄟ ㄙㄜˋ,huīsè,名詞,6,common,ai,word,,,gray; ash gray; grizzly,見出し語と同一
火災,火災,ㄏㄨㄛˇ ㄗㄞ,huǒzāi,名詞,6,common,ai,word,,,serious fire (in a city or a forest etc),見出し語と同一
家電,家電,ㄐㄧㄚ ㄉㄧㄢˋ,jiādiàn,名詞,6,common,ai,word,,,household electric appliance; abbr. for 家用電器|家用电器,見出し語と同一
郊外,郊外,ㄐㄧㄠ ㄨㄞˋ,jiāowài,名詞,6,common,ai,word,,,outskirts,見出し語と同一
家事,家事,ㄐㄧㄚ ㄕˋ,jiāshì,名詞,6,common,ai,word,,,family matters; domestic affairs; housework,見出し語と同一
結論,結論,ㄐㄧㄝˊ ㄌㄨㄣˋ,jiélùn,名詞,6,common,ai,word,,,conclusion; verdict; CL:個|个[ge4],見出し語と同一
基金,基金,ㄐㄧ ㄐㄧㄣ,jījīn,名詞,6,common,ai,word,,,fund,見出し語と同一
金額,金額,ㄐㄧ ㄋㄜˊ,jīné,名詞,6,common,ai,word,,,sum of money; monetary value,見出し語と同一
京劇,京劇,ㄐㄧㄥ ㄐㄩˋ,jīngjù,名詞,6,common,ai,word,,,"Beijing opera; CL:場|场[chang3],齣|出[chu1]",見出し語と同一
景色,景色,ㄐㄧㄥˇ ㄙㄜˋ,jǐngsè,名詞,6,common,ai,word,,,scenery; scene; landscape,見出し語と同一
今後,今後,ㄐㄧㄣ ㄏㄡˋ,jīnhòu,名詞,6,common,ai,word,,,hereafter; henceforth; in the future,見出し語と同一
金融,金融,ㄐㄧㄣ ㄖㄨㄥˊ,jīnróng,名詞,6,common,ai,word,,,banking; finance; financial,見出し語と同一
近視,近視,ㄐㄧㄣˋ ㄕˋ,jìnshì,状態動詞(形容詞),6,common,ai,word,,,shortsighted; nearsighted; myopia,見出し語と同一
技術,技術,ㄐㄧˋ ㄕㄨˋ,jìshù,名詞,6,common,ai,word,,,"technology; technique; skill; CL:門|门[men2],種|种[zhong3],項|项[xiang4]",見出し語と同一
機械,機械,ㄐㄧ ㄒㄧㄝˋ,jīxiè,名詞,6,common,ai,word,,,machine; machinery; mechanical,見出し語と同一
劇場,劇場,ㄐㄩˋ ㄔㄤˇ,jùchǎng,名詞,6,common,ai,word,,,theater; CL:座[zuo4],見出し語と同一
軍事,軍事,ㄐㄩㄣ ㄕˋ,jūnshì,名詞,6,common,ai,word,,,military affairs; (attributive) military,見出し語と同一
科目,科目,ㄎㄜ ㄇㄨˋ,kēmù,名詞,6,common,ai,word,,,academic subject; field of study,見出し語と同一
空中,空中,ㄎㄨㄥ ㄓㄨㄥ,kōngzhōng,名詞,6,common,ai,word,,,in the sky; in the air,見出し語と同一
口紅,口紅,ㄎㄡˇ ㄏㄨㄥˊ,kǒuhóng,名詞,6,common,ai,word,,,lipstick,見出し語と同一
老年,老年,ㄌㄠˇ ㄋㄧㄢˊ,lǎonián,名詞,6,common,ai,word,,,elderly; old age; autumn of one's years,見出し語と同一
粒,粒,ㄌㄧˋ,lì,量詞,6,common,ai,word,,,"grain; granule; pellet; particle; classifier for small round objects (peas, bullets, peanuts, pills, grains etc); (Tw) c",見出し語と同一
梨,梨,ㄌㄧˊ(ㄗ˙),lí(zi),名詞,6,common,ai,word,,原表記: 梨(子),pear; CL:個|个[ge4],見出し語と同一
立場,立場,ㄌㄧˋ ㄔㄤˇ,lìchǎng,名詞,6,common,ai,word,,,position; standpoint; CL:個|个[ge4],見出し語と同一
領土,領土,ㄌㄧㄥˇ ㄊㄨˇ,lǐngtǔ,名詞,6,common,ai,word,,,territory,見出し語と同一
理由,理由,ㄌㄧˇ ㄧㄡˊ,lǐyóu,名詞,6,common,ai,word,,,reason; grounds; justification,見出し語と同一
陸軍,陸軍,ㄌㄨˋ ㄐㄩㄣ,lùjūn,名詞,6,common,ai,word,,,army; ground forces,見出し語と同一
論文,論文,ㄌㄨㄣˋ ㄨㄣˊ,lùnwén,名詞,6,common,ai,word,,,paper; treatise; thesis,見出し語と同一
矛盾,矛盾,ㄇㄠˊ ㄉㄨㄣˋ,máodùn,状態動詞(形容詞),6,common,ai,word,,,contradiction; CL:個|个[ge4]; conflicting views,見出し語と同一
魅力,魅力,ㄇㄟˋ ㄌㄧˋ,mèilì,名詞,6,common,ai,word,,,charm; fascination; glamor,見出し語と同一
美容院,美容院,ㄇㄟˇ ㄖㄨㄥˊ ㄩㄢˋ,měiróngyuàn,名詞,6,common,ai,word,,,beauty salon; beauty parlor,見出し語と同一
秘書,秘書,ㄇㄧˋ ㄕㄨ,mìshū,名詞,6,common,ai,word,,原表記: 秘書/祕書,secretary,見出し語と同一
目的地,目的地,ㄇㄨˋ ㄉㄧˋ ㄉㄧˋ,mùdìdì,名詞,6,common,ai,word,,,destination (location),見出し語と同一
男性,男性,ㄋㄢˊ ㄒㄧㄥˋ,nánxìng,名詞,6,common,ai,word,,,the male sex; a male,見出し語と同一
農場,農場,ㄋㄨㄥˊ ㄔㄤˇ,nóngchǎng,名詞,6,common,ai,word,,,farm,見出し語と同一
女性,女性,ㄋㄩˇ ㄒㄧㄥˋ,nǚxìng,名詞,6,common,ai,word,,,woman; the female sex,見出し語と同一
旗,旗,ㄑㄧˊ(ㄗ˙),qí(zi),名詞,6,common,ai,word,,原表記: 旗(子),banner; flag; (in Qing times) Manchu (cf. 八旗[Ba1 qi2]),見出し語と同一
妻,妻,ㄑㄧ,qī/qīzǐ,名詞,6,common,ai,word,,原表記: 妻/妻子,(bound form) wife ‖ to marry off (a daughter),見出し語と同一
器官,器官,ㄑㄧˋ ㄍㄨㄢ,qìguān,名詞,6,common,ai,word,,,(physiology) organ; apparatus,見出し語と同一
親戚,親戚,ㄑㄧㄣ ㄑㄧ,qīnqī,名詞,6,common,ai,word,,,"a relative (i.e. family relation); CL:門|门[men2],個|个[ge4],位[wei4]",見出し語と同一
燃料,燃料,ㄖㄢˊ ㄌㄧㄠˋ,ránliào,名詞,6,common,ai,word,,,fuel,見出し語と同一
人生,人生,ㄖㄣˊ ㄕㄥ,rénshēng,名詞,6,common,ai,word,,,life (one's time on earth),見出し語と同一
日用品,日用品,ㄖˋ ㄩㄥˋ ㄆㄧㄣˇ,rìyòngpǐn,名詞,6,common,ai,word,,,"articles for daily use; CL:件[jian4],個|个[ge4]",見出し語と同一
三角形,三角形,ㄙㄢ ㄐㄧㄠˇ ㄒㄧㄥˊ,sānjiǎoxíng,名詞,6,common,ai,word,,,triangle,見出し語と同一
山地,山地,ㄕㄢ ㄉㄧˋ,shāndì,名詞,6,common,ai,word,,,mountainous region; hilly area; hilly country,見出し語と同一
扇子,扇子,ㄕㄢˋ ˙ㄗ,shànzi,名詞,6,common,ai,word,,,fan; CL:把[ba3],見出し語と同一
少年,少年,ㄕㄠˋ ㄋㄧㄢˊ,shàonián,名詞,6,common,ai,word,,,early youth; youngster; (literary) youth; young man,見出し語と同一
少女,少女,ㄕㄠˋ ㄋㄩˇ,shàonǚ,名詞,6,common,ai,word,,,girl; young lady,見出し語と同一
社交,社交,ㄕㄜˋ ㄐㄧㄠ,shèjiāo,名詞,6,common,ai,word,,,interaction; social contact,見出し語と同一
神,神,ㄕㄣˊ / ㄕㄣˊ,shén / shén,名詞/状態動詞(形容詞),6,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,God ‖ god; deity,見出し語と同一
身分,身分,ㄕㄣ ㄈㄣˋ,shēnfèn,名詞,6,common,ai,word,,,variant of 身份[shen1fen4],見出し語と同一
勝利,勝利,ㄕㄥˋ ㄌㄧˋ,shènglì,変化動詞,6,common,ai,word,,,victory; CL:個|个[ge4],見出し語と同一
神話,神話,ㄕㄣˊ ㄏㄨㄚˋ,shénhuà,名詞,6,common,ai,word,,,legend; fairy tale; myth,見出し語と同一
深夜,深夜,ㄕㄣ ㄧㄝˋ,shēnyè,名詞,6,common,ai,word,,,very late at night,見出し語と同一
世紀,世紀,ㄕˋ ㄐㄧˋ,shìjì,名詞,6,common,ai,word,,,century; CL:個|个[ge4],見出し語と同一
市民,市民,ㄕˋ ㄇㄧㄣˊ,shìmín,名詞,6,common,ai,word,,,city resident,見出し語と同一
食品,食品,ㄕˊ ㄆㄧㄣˇ,shípǐn,名詞,6,common,ai,word,,,foodstuff; food; provisions; CL:種|种[zhong3],見出し語と同一
詩人,詩人,ㄕ ㄖㄣˊ,shīrén,名詞,6,common,ai,word,,,bard; poet,見出し語と同一
首都,首都,ㄕㄡˇ ㄉㄨ,shǒudū,名詞,6,common,ai,word,,,capital (city); CL:個|个[ge4],見出し語と同一
手術,手術,ㄕㄡˇ ㄕㄨˋ,shǒushù,名詞,6,common,ai,word,,,(surgical) operation; surgery; CL:個|个[ge4],見出し語と同一
四季,四季,ㄙˋ ㄐㄧˋ,sìjì,名詞,6,common,ai,word,,,"four seasons, namely: spring 春[chun1], summer 夏[xia4], autumn 秋[qiu1] and winter 冬[dong1]",見出し語と同一
太極拳,太極拳,ㄊㄞˋ ㄐㄧˊ ㄑㄩㄢˊ,tàijíquán,名詞,6,common,ai,word,,,"shadowboxing or Taiji, T'aichi or T'aichichuan; traditional form of physical exercise or relaxation; a martial art",見出し語と同一
桃,桃,ㄊㄠˊ(ㄗ˙),táo(zi),名詞,6,common,ai,word,,原表記: 桃(子),peach,見出し語と同一
天才,天才,ㄊㄧㄢ ㄘㄞˊ,tiāncái,名詞,6,common,ai,word,,,talent; gift; genius,見出し語と同一
銅,銅,ㄊㄨㄥˊ,tóng,名詞,6,common,ai,word,,,copper (chemistry); see also 紅銅|红铜[hong2 tong2]; CL:塊|块[kuai4],見出し語と同一
外交,外交,ㄨㄞˋ ㄐㄧㄠ,wàijiāo,名詞,6,common,ai,word,,,diplomacy; diplomatic; foreign affairs,見出し語と同一
外科,外科,ㄨㄞˋ ㄎㄜ,wàikē,名詞,6,common,ai,word,,,surgery (branch of medicine),見出し語と同一
危機,危機,ㄨㄟˊ ㄐㄧ,wéijī,名詞,6,common,ai,word,,,crisis; CL:個|个[ge4],見出し語と同一
衛星,衛星,ㄨㄟˋ ㄒㄧㄥ,wèixīng,名詞,6,common,ai,word,,,satellite; moon; CL:顆|颗[ke1],見出し語と同一
委員,委員,ㄨㄟˇ ㄩㄢˊ,wěiyuán,名詞,6,common,ai,word,,,committee member,見出し語と同一
霧,霧,ㄨˋ,wù,名詞,6,common,ai,word,,,"fog; mist; CL:場|场[chang2],陣|阵[zhen4]",見出し語と同一
武器,武器,ㄨˇ ㄑㄧˋ,wǔqì,名詞,6,common,ai,word,,,weapon; arms; CL:種|种[zhong3],見出し語と同一
武術,武術,ㄨˇ ㄕㄨˋ,wǔshù,名詞,6,common,ai,word,,,military skill or technique (in former times); all kinds of martial art sports (some claiming spiritual development); se,見出し語と同一
舞台,舞台,ㄨˇ ㄊㄞˊ,wǔtái,名詞,6,common,ai,word,,原表記: 舞台/舞臺,,見出し語と同一
物質,物質,ㄨˋ ㄓˊ,wùzhí,名詞,6,common,ai,word,,,matter; substance; material,見出し語と同一
