headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes,en_ref,flag
現場,現場,ㄒㄧㄢˋ ㄔㄤˇ,xiànchǎng,名詞,6,common,ai,word,,,"the scene (of a crime, accident etc); (on) the spot; (at) the site",見出し語と同一
現金,現金,ㄒㄧㄢˋ ㄐㄧㄣ,xiànjīn,名詞,6,common,ai,word,,,cash,見出し語と同一
細胞,細胞,ㄒㄧˋ ㄅㄠ,xìbāo,名詞,6,common,ai,word,,,cell (biology),見出し語と同一
血管,血管,ㄒㄧㄝˇ ㄍㄨㄢˇ,xiěguǎn,名詞,6,common,ai,word,,,vein; artery; CL:根[gen1],見出し語と同一
血液,血液,ㄒㄧㄝˇ ㄧㄝˋ,xiěyè,名詞,6,common,ai,word,,,blood; (fig.) lifeblood,見出し語と同一
喜劇,喜劇,ㄒㄧˇ ㄐㄩˋ,xǐjù,名詞,6,common,ai,word,,,"a comedy; CL:部[bu4],齣|出[chu1]",見出し語と同一
細菌,細菌,ㄒㄧˋ ㄐㄩㄣˋ,xìjùn,名詞,6,common,ai,word,,,bacterium; germ,見出し語と同一
新郎,新郎,ㄒㄧㄣ ㄌㄤˊ,xīnláng,名詞,6,common,ai,word,,,bridegroom; groom,見出し語と同一
信用,信用,ㄒㄧㄣˋ ㄩㄥˋ,xìnyòng,名詞,6,common,ai,word,,,trustworthiness; (commerce) credit; (literary) to trust and appoint,見出し語と同一
腰,腰,ㄧㄠ,yāo,名詞,6,common,ai,word,,,the waist and lower back; (bound form) kidney of an animal (as food); the waist of trousers or a skirt,見出し語と同一
葉,葉,ㄧㄝˋ(ㄗ˙),yè(zi),量詞/名詞,6,common,ai,word,,原表記: 葉(子),leaf; page; lobe,見出し語と同一
夜景,夜景,ㄧㄝˋ ㄐㄧㄥˇ,yèjǐng,名詞,6,common,ai,word,,,nightscape,見出し語と同一
野心,野心,ㄧㄝˇ ㄒㄧㄣ,yěxīn,名詞,6,common,ai,word,,,ambition; wild schemes; careerism,見出し語と同一
英雄,英雄,ㄧㄥ ㄒㄩㄥˊ,yīngxióng,名詞,6,common,ai,word,,,hero; CL:個|个[ge4],見出し語と同一
印象,印象,ㄧㄣˋ ㄒㄧㄤˋ,yìnxiàng,名詞,6,common,ai,word,,,impression (sth that stays in one's mind); a memory,見出し語と同一
儀式,儀式,ㄧˊ ㄕˋ,yíshì,名詞,6,common,ai,word,,,ceremony,見出し語と同一
原則,原則,ㄩㄢˊ ㄗㄜˊ,yuánzé,名詞,6,common,ai,word,,,principle; doctrine; CL:個|个[ge4],見出し語と同一
月光,月光,ㄩㄝˋ ㄍㄨㄤ,yuèguāng,名詞,6,common,ai,word,,,moonlight,見出し語と同一
災害,災害,ㄗㄞ ㄏㄞˋ,zāihài,名詞,6,common,ai,word,,,calamity; disaster; CL:個|个[ge4],見出し語と同一
政策,政策,ㄓㄥˋ ㄘㄜˋ,zhèngcè,名詞,6,common,ai,word,,,policy; CL:個|个[ge4],見出し語と同一
正方形,正方形,ㄓㄥˋ ㄈㄤ ㄒㄧㄥˊ,zhèngfāngxíng,名詞,6,common,ai,word,,,square,見出し語と同一
政府,政府,ㄓㄥˋ ㄈㄨˇ,zhèngfǔ,名詞,6,common,ai,word,,,government; CL:個|个[ge4],見出し語と同一
中級,中級,ㄓㄨㄥ ㄐㄧˊ,zhōngjí,名詞,6,common,ai,word,,,middle level (in a hierarchy),見出し語と同一
種類,種類,ㄓㄨㄥˇ ㄌㄟˋ,zhǒnglèi,名詞,6,common,ai,word,,,kind; genus; type,見出し語と同一
中年,中年,ㄓㄨㄥ ㄋㄧㄢˊ,zhōngnián,名詞,6,common,ai,word,,,middle age,見出し語と同一
週,週,ㄓㄡ,zhōu,量詞,6,common,ai,word,,,week; weekly; variant of 周[zhou1],見出し語と同一
竹,竹,ㄓㄨˊ(ㄗ˙),zhú(zi),名詞,6,common,ai,word,,原表記: 竹(子),"bamboo; CL:棵[ke1],支[zhi1],根[gen1]; Kangxi radical 118",見出し語と同一
住宅,住宅,ㄓㄨˋ ㄓㄞˊ,zhùzhái,名詞,6,common,ai,word,,,residence; dwelling; abode,見出し語と同一
資本,資本,ㄗ ㄅㄣˇ,zīběn,名詞,6,common,ai,word,,,capital (economics),見出し語と同一
資格,資格,ㄗ ㄍㄜˊ,zīgé,名詞,6,common,ai,word,,,qualifications; seniority,見出し語と同一
資金,資金,ㄗ ㄐㄧㄣ,zījīn,名詞,6,common,ai,word,,,funds; capital,見出し語と同一
字幕,字幕,ㄗˋ ㄇㄨˋ,zìmù,名詞,6,common,ai,word,,,subtitles; captions (of a movie etc),見出し語と同一
作家,作家,ㄗㄨㄛˋ ㄐㄧㄚ,zuòjiā,名詞,6,common,ai,word,,,"author; CL:個|个[ge4],位[wei4]",見出し語と同一
半島,半島,ㄅㄢˋ ㄉㄠˇ,bàndǎo,名詞,7,common,ai,word,,,peninsula,見出し語と同一
本質,本質,ㄅㄣˇ ㄓˊ,běnzhí,名詞,7,common,ai,word,,,essence; nature; innate character,見出し語と同一
病床,病床,ㄅㄧㄥˋ ㄔㄨㄤˊ,bìngchuáng,名詞,7,common,ai,word,,,hospital bed; sickbed,見出し語と同一
波,波,ㄅㄛ,bō,量詞,7,common,ai,word,,,(bound form) Poland (abbr. for 波蘭|波兰[Bo1lan2]); surname Bo ‖ wave,見出し語と同一
財政,財政,ㄘㄞˊ ㄓㄥˋ,cáizhèng,名詞,7,common,ai,word,,,finances (public); financial,見出し語と同一
採光,採光,ㄘㄞˇ ㄍㄨㄤ,cǎiguāng,名詞,7,common,ai,word,,,to get natural light (e.g. through a window),見出し語と同一
腸,腸,ㄔㄤˊ(ㄗ˙),cháng(zi),名詞,7,common,ai,word,,原表記: 腸(子),intestines,見出し語と同一
誠心誠意,誠心誠意,ㄔㄥˊ ㄒㄧㄣ ㄔㄥˊ ㄧˋ,chéngxīnchéngyì,状態動詞(形容詞),7,common,ai,word,,,earnestly and sincerely (idiom); with all sincerity,見出し語と同一
池,池,ㄔˊ(ㄗ˙),chí(zi),名詞,7,common,ai,word,,原表記: 池(子),pond; reservoir; moat,見出し語と同一
初期,初期,ㄔㄨ ㄑㄧˊ,chūqí,名詞,7,common,ai,word,,,initial stage; beginning period,見出し語と同一
大使,大使,ㄉㄚˋ ㄕˇ,dàshǐ,名詞,7,common,ai,word,,,"ambassador; envoy; CL:名[ming2],位[wei4]",見出し語と同一
道士,道士,ㄉㄠˋ ㄕˋ,dàoshì,名詞,7,common,ai,word,,,Daoist priest,見出し語と同一
地表,地表,ㄉㄧˋ ㄅㄧㄠˇ,dìbiǎo,名詞,7,common,ai,word,,,the surface (of the earth),見出し語と同一
地獄,地獄,ㄉㄧˋ ㄩˋ,dìyù,名詞,7,common,ai,word,,,hell; infernal; underworld,見出し語と同一
地質,地質,ㄉㄧˋ ㄓˊ,dìzhí,名詞,7,common,ai,word,,,geology,見出し語と同一
電力,電力,ㄉㄧㄢˋ ㄌㄧˋ,diànlì,名詞,7,common,ai,word,,,electrical power; electricity,見出し語と同一
電流,電流,ㄉㄧㄢˋ ㄌㄧㄡˊ,diànliú,名詞,7,common,ai,word,,,an electric current; (old) current intensity,見出し語と同一
動機,動機,ㄉㄨㄥˋ ㄐㄧ,dòngjī,名詞,7,common,ai,word,,,motive; motivation,見出し語と同一
動脈,動脈,ㄉㄨㄥˋ ㄇㄞˋ,dòngmài,名詞,7,common,ai,word,,,artery,見出し語と同一
恩人,恩人,ㄣ ㄖㄣˊ,ēnrén,名詞,7,common,ai,word,,,a benefactor; a person who has significantly helped sb else,見出し語と同一
法令,法令,ㄈㄚˇ ㄌㄧㄥˋ,fǎlìng,名詞,7,common,ai,word,,,decree; ordinance,見出し語と同一
法人,法人,ㄈㄚˇ ㄖㄣˊ,fǎrén,名詞,7,common,ai,word,,,legal person; corporation; see also 自然人[zi4 ran2 ren2],見出し語と同一
肥料,肥料,ㄈㄟˊ ㄌㄧㄠˋ,féiliào,名詞,7,common,ai,word,,,fertilizer; manure,見出し語と同一
肺炎,肺炎,ㄈㄟˋ ㄧㄢˊ,fèiyán,名詞,7,common,ai,word,,,pneumonia; inflammation of the lungs,見出し語と同一
風力,風力,ㄈㄥ ㄌㄧˋ,fēnglì,名詞,7,common,ai,word,,,wind force; wind power,見出し語と同一
風水,風水,ㄈㄥ ㄕㄨㄟˇ,fēngshuǐ,名詞,7,common,ai,word,,,feng shui; geomancy,見出し語と同一
公費,公費,ㄍㄨㄥ ㄈㄟˋ,gōngfèi,名詞,7,common,ai,word,,,at public expense,見出し語と同一
公務,公務,ㄍㄨㄥ ㄨˋ,gōngwù,名詞,7,common,ai,word,,,official business,見出し語と同一
公務員,公務員,ㄍㄨㄥ ㄨˋ ㄩㄢˊ,gōngwùyuán,名詞,7,common,ai,word,,,civil servant; public servant,見出し語と同一
宮殿,宮殿,ㄍㄨㄥ ㄉㄧㄢˋ,gōngdiàn,名詞,7,common,ai,word,,,palace; CL:座[zuo4],見出し語と同一
果樹,果樹,ㄍㄨㄛˇ ㄕㄨˋ,guǒshù,名詞,7,common,ai,word,,,fruit tree; CL:棵[ke1],見出し語と同一
海面,海面,ㄏㄞˇ ㄇㄧㄢˋ,hǎimiàn,名詞,7,common,ai,word,,,the surface of the sea; ocean surface,見出し語と同一
化石,化石,ㄏㄨㄚˋ ㄕˊ,huàshí,名詞,7,common,ai,word,,,fossil,見出し語と同一
患者,患者,ㄏㄨㄢˋ ㄓㄜˇ,huànzhě,名詞,7,common,ai,word,,,patient; sufferer,見出し語と同一
彗星,彗星,ㄏㄨㄟˋ ㄒㄧㄥ,huìxīng,名詞,7,common,ai,word,,,comet,見出し語と同一
火力,火力,ㄏㄨㄛˇ ㄌㄧˋ,huǒlì,名詞,7,common,ai,word,,,fire; firepower,見出し語と同一
基地,基地,ㄐㄧ ㄉㄧˋ,jīdì,名詞,7,common,ai,word,,,"al-Qaeda ‖ base (of operations, industrial, militar",見出し語と同一
教官,教官,ㄐㄧㄠˋ ㄍㄨㄢ,jiàoguān,名詞,7,common,ai,word,,,military instructor,見出し語と同一
教員,教員,ㄐㄧㄠˋ ㄩㄢˊ,jiàoyuán,名詞,7,common,ai,word,,,teacher; instructor; CL:個|个[ge4],見出し語と同一
階層,階層,ㄐㄧㄝ ㄘㄥˊ,jiēcéng,名詞,7,common,ai,word,,,social class,見出し語と同一
階級,階級,ㄐㄧㄝ ㄐㄧˊ,jiējí,名詞,7,common,ai,word,,,(social) class; CL:個|个[ge4],見出し語と同一
金魚,金魚,ㄐㄧㄣ ㄩˊ,jīnyú,名詞,7,common,ai,word,,,goldfish,見出し語と同一
巨人,巨人,ㄐㄩˋ ㄖㄣˊ,jùrén,名詞,7,common,ai,word,,,giant,見出し語と同一
軍備,軍備,ㄐㄩㄣ ㄅㄟˋ,jūnbèi,名詞,7,common,ai,word,,,(military) arms; armaments,見出し語と同一
軍閥,軍閥,ㄐㄩㄣ ㄈㄚˊ,jūnfá,名詞,7,common,ai,word,,,military clique; junta; warlord,見出し語と同一
軍艦,軍艦,ㄐㄩㄣ ㄐㄧㄢˋ,jūnjiàn,名詞,7,common,ai,word,,,warship; military naval vessel; CL:艘[sou1],見出し語と同一
苦難,苦難,ㄎㄨˇ ㄋㄢˋ,kǔnàn,名詞,7,common,ai,word,,,suffering,見出し語と同一
列車,列車,ㄌㄧㄝˋ ㄔㄜ,lièchē,名詞,7,common,ai,word,,,(railway) train,見出し語と同一
鈴,鈴,ㄌㄧㄥˊ,líng,名詞,7,common,ai,word,,,(small) bell; CL:隻|只[zhi1],見出し語と同一
流域,流域,ㄌㄧㄡˊ ㄩˋ,liúyù,名詞,7,common,ai,word,,,river basin; valley; drainage area,見出し語と同一
陸地,陸地,ㄌㄨˋ ㄉㄧˋ,lùdì,名詞,7,common,ai,word,,,dry land (as opposed to the sea),見出し語と同一
倫理,倫理,ㄌㄨㄣˊ ㄌㄧˇ,lúnlǐ,名詞,7,common,ai,word,,,ethics,見出し語と同一
卵,卵,ㄌㄨㄢˇ,luǎn,名詞,7,common,ai,word,,,egg; ovum; spawn; (coll.) testicles; (old) penis,見出し語と同一
旅費,旅費,ㄌㄩˇ ㄈㄟˋ,lǚfèi,名詞,7,common,ai,word,,,travel expenses,見出し語と同一
眉毛,眉毛,ㄇㄟˊ ㄇㄠˊ,méimáo/méi,名詞,7,common,ai,word,,原表記: 眉毛/眉,eyebrow; CL:根[gen1],見出し語と同一
謎,謎,ㄇㄧˊ,mí,名詞,7,common,ai,word,,,"see 謎兒|谜儿[mei4 r5], riddle ‖ riddle",見出し語と同一
明日,明日,ㄇㄧㄥˊ ㄖˋ,míngrì,名詞,7,common,ai,word,,,tomorrow,見出し語と同一
免疫,免疫,ㄇㄧㄢˇ ㄧˋ,miǎnyì,状態動詞(形容詞),7,common,ai,word,,,immunity (to disease),見出し語と同一
民俗,民俗,ㄇㄧㄣˊ ㄙㄨˊ,mínsú,名詞,7,common,ai,word,,,popular custom,見出し語と同一
模範,模範,ㄇㄛˊ ㄈㄢˋ,mófàn,名詞,7,common,ai,word,,,model; fine example,見出し語と同一
末期,末期,ㄇㄛˋ ㄑㄧˊ,mòqí,名詞,7,common,ai,word,,,end (of a period); last part; final phase,見出し語と同一
墨,墨,ㄇㄛˋ,mò,名詞,7,common,ai,word,,,ink stick; China ink; CL:塊|块[kuai4],見出し語と同一
木材,木材,ㄇㄨˋ ㄘㄞˊ,mùcái,名詞,7,common,ai,word,,,wood,見出し語と同一
牧場,牧場,ㄇㄨˋ ㄔㄤˇ,mùchǎng,名詞,7,common,ai,word,,,pasture; grazing land; ranch,見出し語と同一
幕,幕,ㄇㄨˋ,mù,名詞,7,common,ai,word,,,curtain or screen; canopy or tent; headquarters of a general,見出し語と同一
難民,難民,ㄋㄢˋ ㄇㄧㄣˊ,nànmín,名詞,7,common,ai,word,,,refugee,見出し語と同一
農具,農具,ㄋㄨㄥˊ ㄐㄩˋ,nóngjù,名詞,7,common,ai,word,,,farm implements; farm tools,見出し語と同一
農作物,農作物,ㄋㄨㄥˊ ㄗㄨㄛˋ ㄨˋ,nóngzuòwù,名詞,7,common,ai,word,,,(farm) crops,見出し語と同一
派出所,派出所,ㄆㄞˋ ㄔㄨ ㄙㄨㄛˇ,pàichūsuǒ,名詞,7,common,ai,word,,,local police station,見出し語と同一
盆地,盆地,ㄆㄣˊ ㄉㄧˋ,péndì,名詞,7,common,ai,word,,,(geography) basin; depression,見出し語と同一
品種,品種,ㄆㄧㄣˇ ㄓㄨㄥˇ,pǐnzhǒng,名詞,7,common,ai,word,,,breed; variety; CL:個|个[ge4],見出し語と同一
鉛,鉛,ㄑㄧㄢ,qiān,名詞,7,common,ai,word,,,lead (chemistry),見出し語と同一
前科,前科,ㄑㄧㄢˊ ㄎㄜ,qiánkē,名詞,7,common,ai,word,,,criminal record; previous convictions,見出し語と同一
青春,青春,ㄑㄧㄥ ㄔㄨㄣ,qīngchūn,名詞,7,common,ai,word,,,youth; youthfulness,見出し語と同一
情報,情報,ㄑㄧㄥˊ ㄅㄠˋ,qíngbào,名詞,7,common,ai,word,,,information; intelligence,見出し語と同一
丘陵,丘陵,ㄑㄧㄡ ㄌㄧㄥˊ,qiūlíng,名詞,7,common,ai,word,,,hills,見出し語と同一
拳,拳,ㄑㄩㄢˊ,quán,量詞,7,common,ai,word,,,fist; boxing,見出し語と同一
染料,染料,ㄖㄢˇ ㄌㄧㄠˋ,rǎnliào,名詞,7,common,ai,word,,,dye,見出し語と同一
人手,人手,ㄖㄣˊ ㄕㄡˇ,rénshǒu,名詞,7,common,ai,word,,,manpower; staff; human hand,見出し語と同一
任期,任期,ㄖㄣˋ ㄑㄧˊ,rènqí,名詞,7,common,ai,word,,,term of office; CL:屆|届[jie4]; tenure (entire period in office),見出し語と同一
容量,容量,ㄖㄨㄥˊ ㄌㄧㄤˋ,róngliàng,名詞,7,common,ai,word,,,capacity; volume; quantitative (science),見出し語と同一
容器,容器,ㄖㄨㄥˊ ㄑㄧˋ,róngqì,名詞,7,common,ai,word,,,receptacle; vessel; (computing) container,見出し語と同一
散文,散文,ㄙㄢˇ ㄨㄣˊ,sǎnwén,名詞,7,common,ai,word,,,"(broadly) prose (as opposed to verse); (more narrowly) free-form literary prose, such as essays, sketches and reflection",見出し語と同一
山脈,山脈,ㄕㄢ ㄇㄞˋ,shānmài,名詞,7,common,ai,word,,,mountain range; CL:條|条[tiao2],見出し語と同一
傷口,傷口,ㄕㄤ ㄎㄡˇ,shāngkǒu,名詞,7,common,ai,word,,,wound; cut,見出し語と同一
上司,上司,ㄕㄤˋ ㄙ,shàngsī,名詞,7,common,ai,word,,,boss; superior,見出し語と同一
上旬,上旬,ㄕㄤˋ ㄒㄩㄣˊ,shàngxún,名詞,7,common,ai,word,,,first third of a month,見出し語と同一
生前,生前,ㄕㄥ ㄑㄧㄢˊ,shēngqián,名詞,7,common,ai,word,,,(of a deceased) during one's life; while living,見出し語と同一
生死,生死,ㄕㄥ ㄙˇ,shēngsǐ,名詞,7,common,ai,word,,,life or death,見出し語と同一
生態,生態,ㄕㄥ ㄊㄞˋ,shēngtài,名詞,7,common,ai,word,,,ecology,見出し語と同一
生物,生物,ㄕㄥ ㄨˋ,shēngwù,名詞,7,common,ai,word,,,organism; living creature; life form,見出し語と同一
石膏,石膏,ㄕˊ ㄍㄠ,shígāo,名詞,7,common,ai,word,,,gypsum CaSO4·2(H2O); plaster; plaster cast (for a broken bone),見出し語と同一
史料,史料,ㄕˇ ㄌㄧㄠˋ,shǐliào,名詞,7,common,ai,word,,,historical material or data,見出し語と同一
使節,使節,ㄕˇ ㄐㄧㄝˊ,shǐjié,名詞,7,common,ai,word,,,(diplomatic) envoy,見出し語と同一
使命,使命,ㄕˇ ㄇㄧㄥˋ,shǐmìng,名詞,7,common,ai,word,,,mission; long-term task to which one devotes oneself; a calling,見出し語と同一
事故,事故,ㄕˋ ㄍㄨˋ,shìgù,名詞,7,common,ai,word,,,"accident; CL:樁|桩[zhuang1],起[qi3],次[ci4]",見出し語と同一
水晶,水晶,ㄕㄨㄟˇ ㄐㄧㄥ,shuǐjīng,名詞,7,common,ai,word,,,crystal,見出し語と同一
水力,水力,ㄕㄨㄟˇ ㄌㄧˋ,shuǐlì,名詞,7,common,ai,word,,,hydraulic power,見出し語と同一
水源,水源,ㄕㄨㄟˇ ㄩㄢˊ,shuǐyuán,名詞,7,common,ai,word,,,water source; water supply; headwaters of a river,見出し語と同一
瞬間,瞬間,ㄕㄨㄣˋ ㄐㄧㄢ,shùnjiān,名詞,7,common,ai,word,,,in an instant; in a flash,見出し語と同一
他人,他人,ㄊㄚ ㄖㄣˊ,tārén,名詞,7,common,ai,word,,,another person; sb else; other people,見出し語と同一
痰,痰,ㄊㄢˊ,tán,名詞,7,common,ai,word,,,phlegm; spittle,見出し語と同一
陶器,陶器,ㄊㄠˊ ㄑㄧˋ,táoqì,名詞,7,common,ai,word,,,pottery,見出し語と同一
天敵,天敵,ㄊㄧㄢ ㄉㄧˊ,tiāndí,名詞,7,common,ai,word,,,predator; natural enemy,見出し語と同一
天災,天災,ㄊㄧㄢ ㄗㄞ,tiānzāi,名詞,7,common,ai,word,,,natural disaster,見出し語と同一
胃,胃,ㄨㄟˋ,wèi,名詞,7,common,ai,word,,,stomach; CL:個|个[ge4],見出し語と同一
文壇,文壇,ㄨㄣˊ ㄊㄢˊ,wéntán,名詞,7,common,ai,word,,,literary circles,見出し語と同一
武力,武力,ㄨˇ ㄌㄧˋ,wǔlì,名詞,7,common,ai,word,,,military force,見出し語と同一
物品,物品,ㄨˋ ㄆㄧㄣˇ,wùpǐn,名詞,7,common,ai,word,,,articles; goods,見出し語と同一
物資,物資,ㄨˋ ㄗ,wùzī,名詞,7,common,ai,word,,,goods; supplies,見出し語と同一
誤差,誤差,ㄨˋ ㄔㄚ,wùchā,名詞,7,common,ai,word,,,difference; error; inaccuracy,見出し語と同一
西洋,西洋,ㄒㄧ ㄧㄤˊ,xīyáng,名詞,7,common,ai,word,,,the West (Europe and North America); countries of the Indian Ocean (traditional),見出し語と同一
下水道,下水道,ㄒㄧㄚˋ ㄕㄨㄟˇ ㄉㄠˋ,xiàshuǐdào,名詞,7,common,ai,word,,,sewer,見出し語と同一
下旬,下旬,ㄒㄧㄚˋ ㄒㄩㄣˊ,xiàxún,名詞,7,common,ai,word,,,last third of the month,見出し語と同一
憲法,憲法,ㄒㄧㄢˋ ㄈㄚˇ,xiànfǎ,名詞,7,common,ai,word,,,constitution (of a country); CL:部[bu4],見出し語と同一
星座,星座,ㄒㄧㄥ ㄗㄨㄛˋ,xīngzuò,名詞,7,common,ai,word,,,constellation; astrological sign,見出し語と同一
行政,行政,ㄒㄧㄥˊ ㄓㄥˋ,xíngzhèng,名詞,7,common,ai,word,,,administration; (attributive) administrative; executive,見出し語と同一
刑事,刑事,ㄒㄧㄥˊ ㄕˋ,xíngshì,名詞,7,common,ai,word,,,criminal; penal,見出し語と同一
胸,胸,ㄒㄩㄥ,xiōng,名詞,7,common,ai,word,,,chest; bosom; heart,見出し語と同一
芽,芽,ㄧㄚˊ,yá,名詞,7,common,ai,word,,,bud; sprout,見出し語と同一
岩石,岩石,ㄧㄢˊ ㄕˊ,yánshí,名詞,7,common,ai,word,,,rock,見出し語と同一
燕,燕,ㄧㄢˋ(ㄗ˙),yàn(zi),名詞,7,common,ai,word,,原表記: 燕(子),"Yan, a vassal state of Zhou in present-day Hebei and Liaoning; north Hebei; the four Yan kingdoms of the Sixteen Kingdom ‖ swallow (family Hirundinidae)",見出し語と同一
窯,窯,ㄧㄠˊ,yáo,名詞,7,common,ai,word,,,kiln; oven; coal pit,見出し語と同一
遺志,遺志,ㄧˊ ㄓˋ,yízhì,名詞,7,common,ai,word,,,"the mission in life of a deceased person, left to others to carry on",見出し語と同一
翌日,翌日,ㄧˋ ㄖˋ,yìrì,名詞,7,common,ai,word,,,next day,見出し語と同一
議員,議員,ㄧˋ ㄩㄢˊ,yìyuán,名詞,7,common,ai,word,,,member (of a legislative body); representative,見出し語と同一
銀色,銀色,ㄧㄣˊ ㄙㄜˋ,yínsè,名詞,7,common,ai,word,,,silver (color),見出し語と同一
油田,油田,ㄧㄡˊ ㄊㄧㄢˊ,yóutián,名詞,7,common,ai,word,,,oil field,見出し語と同一
雨季,雨季,ㄩˇ ㄐㄧˋ,yǔjì,名詞,7,common,ai,word,,,rainy season,見出し語と同一
宇宙,宇宙,ㄩˇ ㄓㄡˋ,yǔzhòu,名詞,7,common,ai,word,,,universe; cosmos; space,見出し語と同一
原子,原子,ㄩㄢˊ ㄗˇ,yuánzǐ,名詞,7,common,ai,word,,,atom; atomic,見出し語と同一
正統,正統,ㄓㄥˋ ㄊㄨㄥˇ,zhèngtǒng,名詞,7,common,ai,word,,,"Zhengtong Emperor, reign name of sixth Ming Emperor Zhu Qizhen 朱祁鎮|朱祁镇[Zhu1 Qi2 zhen4] (1427-1464), reigned 1435-1449, t ‖ orthodoxy; tradition",見出し語と同一
正義,正義,ㄓㄥˋ ㄧˋ,zhèngyì,名詞,7,common,ai,word,,,justice; righteousness; just,見出し語と同一
脂肪,脂肪,ㄓ ㄈㄤˊ,zhīfáng,名詞,7,common,ai,word,,,"fat (in the body, in a plant, or in food)",見出し語と同一
指紋,指紋,ㄓˇ ㄨㄣˊ,zhǐwén,名詞,7,common,ai,word,,,"fingerprint; the arches, loops and whorls on the fingers",見出し語と同一
治安,治安,ㄓˋ ㄢ,zhìān,名詞,7,common,ai,word,,,law and order; public security,見出し語と同一
製品,製品,ㄓˋ ㄆㄧㄣˇ,zhìpǐn,名詞,7,common,ai,word,,,products; goods,見出し語と同一
中旬,中旬,ㄓㄨㄥ ㄒㄩㄣˊ,zhōngxún,名詞,7,common,ai,word,,,middle third of a month,見出し語と同一
中庸,中庸,ㄓㄨㄥ ㄩㄥ,zhōngyōng,状態動詞(形容詞),7,common,ai,word,,,"the Doctrine of the Mean, one of the Four Books 四書|四书[Si4 shu1] ‖ golden mean (Confucianism)",見出し語と同一
柱,柱,ㄓㄨˋ(ㄗ˙),zhù(zi),名詞,7,common,ai,word,,原表記: 柱(子),pillar; CL:根[gen1],見出し語と同一
子孫,子孫,ㄗˇ ㄙㄨㄣ,zǐsūn,名詞,7,common,ai,word,,,offspring; posterity,見出し語と同一
紫外線,紫外線,ㄗˇ ㄨㄞˋ ㄒㄧㄢˋ,zǐwàixiàn,名詞,7,common,ai,word,,,ultraviolet ray,見出し語と同一
自治,自治,ㄗˋ ㄓˋ,zìzhì,自動詞,7,common,ai,word,,,autonomy,見出し語と同一
